AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2019;Nova Alvorada do Sul;EE DELFINA NOGUEIRA DE SOUZA - EXTENSÃO ASSENTAMENTO PANA;139;135;4;9;5;0;0;0;0;125;0
2019;Anastacio;EE DEP. CARLOS SOUZA MEDEIROS;913;886;27;100;13;1;0;0;0;797;2
2019;Ponta Pora;EE DEP. FERNANDO C. CAPIBERIBE SALDANHA;1691;1662;29;130;21;0;1;62;98;1378;1
2019;Campo Grande;EE DOLOR FERREIRA DE ANDRADE;1523;1450;73;160;46;0;0;95;31;1191;0
2019;Amambai;EE DOM AQUINO CORRÊA;829;817;12;66;4;0;0;0;0;759;0
2019;Tres Lagoas;EE DOM AQUINO CORRÊA;1954;1773;181;224;88;0;0;0;0;1632;10
2019;Amambai;EE DOM AQUINO CORRÊA -EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE AMAMBAI;93;93;0;32;5;0;0;49;7;0;0
2019;Corumba;EE DOM BOSCO;1497;1478;19;291;3;1;0;0;0;1197;5
2019;Campo Grande;EE DONA CONSUELO MULLER;322;308;14;60;10;0;0;0;0;252;0
2019;Miranda;EE DONA ROSA PEDROSSIAN;440;439;1;38;4;0;0;0;0;398;0
2019;Novo Horizonte do Sul;EE DORCELINA DE OLIVEIRA FOLADOR;330;292;38;22;4;0;0;1;0;303;0
2019;Sao Gabriel do Oeste;EE DORCELINA FOLADOR;181;171;10;49;11;0;0;0;0;121;0
2019;Figueirao;EE DR. ARNALDO ESTEVÃO DE FIGUEIREDO;332;319;13;43;5;0;7;0;0;277;0
2019;Campo Grande;EE DR. ARTHUR DE VASCONCELLOS DIAS;649;613;36;115;7;0;0;0;0;527;0
2019;Paranaiba;EE DR. ERMÍRIO LEAL GARCIA;276;269;7;38;0;0;0;0;0;238;0
2019;Paranaiba;EE DR. ERMÍRIO LEAL GARCIA-EXTENSÃO ESTABELECIMENTO PENAL DE PARANAÍBA;128;128;0;3;33;0;23;35;34;0;0
2019;Amambai;EE DR. FERNANDO CORRÊA DA COSTA;1133;1114;19;239;3;1;0;0;0;890;0
2019;Aral Moreira;EE DR. FERNANDO CORRÊA DA COSTA;702;687;15;129;2;0;0;0;0;571;0
2019;Corumba;EE DR. GABRIEL VANDONI DE BARROS;456;448;8;44;14;0;0;42;33;320;3
2019;Corumba;EE DR. GABRIEL VANDONI DE BARROS -EXTENSÃO ESTAB. PENAL FEMININO CARLOS ALBERTO  JONAS GIORDANO;70;70;0;15;14;0;0;31;10;0;0
2019;Corumba;EE DR. GABRIEL VANDONI DE BARROS- EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE CORUMBÁ;87;87;0;4;22;0;0;45;16;0;0
2019;Corumba;EE DR. JOÃO LEITE DE BARROS;804;645;159;77;38;0;0;147;112;429;1
2019;Corumba;EE DR. JOÃO LEITE DE BARROS - EXTENSÃO EM LUIZ DE ALBUQUERQUE MELO P. CACERES;140;138;2;10;2;0;0;0;0;128;0
2019;Corumba;EE DR. JOÃO LEITE DE BARROS - EXTENSÃO SALA PAIOLZINHO ASSENTAMENTO PAIOLZINHO;137;134;3;3;5;1;0;0;0;128;0
2019;Ribas do Rio Pardo;EE DR. JOÃO PONCE DE ARRUDA;1085;944;141;80;17;0;0;0;0;988;0
2019;Bela Vista;EE DR. JOAQUIM MURTINHO;1058;1028;30;276;6;0;0;0;0;774;2
2019;Taquarussu;EE DR. MARTINHO MARQUES;435;427;8;43;3;0;0;0;0;389;0
2019;Ponta Pora;EE DR. MIGUEL MARCONDES ARMANDO;1022;1002;20;149;9;0;0;0;0;861;3
2019;Ponta Pora;EE DR. MIGUEL MARCONDES ARMANDO-EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE PONTA PORÃ;48;48;0;21;5;0;0;3;19;0;0
2019;Ponta Pora;EE DR. MIGUEL MARCONDES ARMANDO-EXTENSÃO ESTABELECIMENTO PENAL MASCULINO RICARDO BRANDÃO;62;62;0;33;1;1;0;19;8;0;0
2019;Caracol;EE DR. RUBENS DE CASTRO PINTO;431;384;47;49;1;0;0;38;11;332;0
2019;Caracol;EE DR. RUBENS DE CASTRO PINTO - EXTENSÃO  SALA ALTO CARACOL;47;47;0;5;0;0;0;0;0;42;0
2019;Itapora;EE EDSON BEZERRA;644;633;11;74;0;0;0;0;0;569;1
2019;Ribas do Rio Pardo;EE EDUARDO BATISTA AMORIM;1020;995;25;251;17;0;0;141;94;517;0
2019;Terenos;EE EDUARDO PEREZ;694;668;26;62;55;0;58;85;19;415;0
