AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2018;Coronel Sapucaia;EE CEL. SAPUCAIA;1011;993;18;129;16;0;44;725;97;0;0
2018;Coronel Sapucaia;EE CEL. SAPUCAIA - EXTENSÃO SALA ÑANDE REKO ARANDU - ALDEIA TAQUAPERY;103;102;1;5;0;0;16;73;9;0;0
2018;Água Clara;EE CHICO MENDES;747;679;68;180;30;0;0;456;81;0;0
2018;Sonora;EE COMANDANTE MAURÍCIO COUTINHO DUTRA;1612;1445;167;134;65;1;52;1226;134;0;0
2018;Campo Grande;EE CORAÇÃO DE MARIA;500;467;33;74;4;0;0;394;28;0;0
2018;Brasilandia;EE DEBRASA;89;78;11;34;5;0;0;48;2;0;0
2018;Brasilandia;EE DEBRASA - EXTENSÃO SALA MUTUM;21;16;5;2;0;0;0;17;2;0;0
2018;Nova Alvorada do Sul;EE DELFINA NOGUEIRA DE SOUZA;1614;1383;231;234;75;0;0;884;421;0;0
2018;Nova Alvorada do Sul;EE DELFINA NOGUEIRA DE SOUZA - EXTENSÃO ASSENTAMENTO PANA;176;147;29;8;11;1;0;129;27;0;0
2018;Anastacio;EE DEP. CARLOS SOUZA MEDEIROS;1020;978;42;157;45;1;0;641;176;0;0
2018;Ponta Pora;EE DEP. FERNANDO C. CAPIBERIBE SALDANHA;1942;1815;127;189;32;0;257;1223;190;51;0
2018;Campo Grande;EE DOLOR FERREIRA DE ANDRADE;1788;1571;217;246;107;0;190;1050;195;0;0
2018;Amambai;EE DOM AQUINO CORRÊA;862;824;38;102;3;0;0;725;32;0;0
2018;Tres Lagoas;EE DOM AQUINO CORRÊA;2020;1884;136;299;141;1;2;1431;146;0;0
2018;Amambai;EE DOM AQUINO CORRÊA -EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE AMAMBAI;169;87;82;38;0;0;0;117;14;0;0
2018;Corumba;EE DOM BOSCO;1897;1848;49;255;29;0;3;1302;308;0;0
2018;Campo Grande;EE DONA CONSUELO MULLER;447;413;34;118;25;0;6;283;15;0;0
2018;Miranda;EE DONA ROSA PEDROSSIAN;523;501;22;92;10;0;8;356;57;0;0
2018;Novo Horizonte do Sul;EE DORCELINA DE OLIVEIRA FOLADOR;501;386;115;28;22;0;109;304;38;0;0
2018;Sao Gabriel do Oeste;EE DORCELINA FOLADOR;241;227;14;64;6;0;3;145;23;0;0
2018;Figueirao;EE DR. ARNALDO ESTEVÃO DE FIGUEIREDO;417;373;44;55;8;0;0;285;69;0;0
2018;Campo Grande;EE DR. ARTHUR DE VASCONCELLOS DIAS;770;673;97;184;31;0;5;509;41;0;0
2018;Paranaiba;EE DR. ERMÍRIO LEAL GARCIA;419;382;37;115;6;0;18;261;19;0;0
2018;Paranaiba;EE DR. ERMÍRIO LEAL GARCIA-EXTENSÃO ESTABELECIMENTO PENAL DE PARANAÍBA;236;124;112;1;70;0;46;55;64;0;0
2018;Amambai;EE DR. FERNANDO CORRÊA DA COSTA;1221;1144;77;181;14;0;0;861;165;0;0
2018;Aral Moreira;EE DR. FERNANDO CORRÊA DA COSTA;792;738;54;173;14;0;102;446;57;0;0
2018;Corumba;EE DR. GABRIEL VANDONI DE BARROS;839;671;168;87;14;1;0;566;171;0;0
2018;Corumba;EE DR. GABRIEL VANDONI DE BARROS -EXTENSÃO ESTAB. PENAL FEMININO CARLOS ALBERTO  JONAS GIORDANO;122;67;55;32;10;0;0;60;20;0;0
2018;Corumba;EE DR. GABRIEL VANDONI DE BARROS- EXTENSÃO ESTABELECIMENTO PENAL MASCULINO DE CORUMBÁ;154;65;89;14;32;0;0;84;24;0;0
2018;Corumba;EE DR. JOÃO LEITE DE BARROS;1159;904;255;121;49;0;0;677;311;1;0
2018;Corumba;EE DR. JOÃO LEITE DE BARROS - EXTENSÃO EM LUIZ DE ALBUQUERQUE MELO P. CACERES;145;143;2;21;4;1;0;83;36;0;0
2018;Corumba;EE DR. JOÃO LEITE DE BARROS - EXTENSÃO SALA PAIOLZINHO ASSENTAMENTO PAIOLZINHO;156;151;5;16;4;1;0;92;43;0;0
2018;Ribas do Rio Pardo;EE DR. JOÃO PONCE DE ARRUDA;981;946;35;92;16;0;45;767;60;1;0
2018;Bela Vista;EE DR. JOAQUIM MURTINHO;1169;1085;84;279;4;1;0;831;53;1;0
2018;Taquarussu;EE DR. MARTINHO MARQUES;460;429;31;71;11;0;18;342;18;0;0
2018;Ponta Pora;EE DR. MIGUEL MARCONDES ARMANDO;1273;1197;76;176;42;1;0;852;202;0;0
2018;Ponta Pora;EE DR. MIGUEL MARCONDES ARMANDO-EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE PONTA PORÃ;48;21;27;11;2;0;0;12;23;0;0
2018;Ponta Pora;EE DR. MIGUEL MARCONDES ARMANDO-EXTENSÃO ESTABELECIMENTO PENAL MASCULINO RICARDO BRANDÃO;88;37;51;19;9;0;0;36;24;0;0
2018;Caracol;EE DR. RUBENS DE CASTRO PINTO;545;467;78;67;23;0;0;371;84;0;0
2018;Caracol;EE DR. RUBENS DE CASTRO PINTO - EXTENSÃO  SALA ALTO CARACOL;52;50;2;5;1;0;0;37;9;0;0
2018;Itapora;EE EDSON BEZERRA;713;673;40;109;20;0;0;475;109;0;0
2018;Ribas do Rio Pardo;EE EDUARDO BATISTA AMORIM;1399;1166;233;160;30;0;51;918;240;0;0
2018;Terenos;EE EDUARDO PEREZ;1007;820;187;112;94;0;125;602;74;0;0
2018;Tres Lagoas;EE EDWARDS CORRÊA E SOUZA;1722;1551;171;217;64;0;101;901;417;22;0
